Trade #,Type,Date et heure,Signal,Prix USDT,Taille de la position (qté),Taille de la position (valeur),P&L Net USDT,P&L Net %,Excursion favorable USDT,Excursion favorable %,Excursion adverse USDT,Excursion adverse %,P&L cumulé USDT,P&L cumulé %
1,Sortir du short,2025-11-22 11:00,Exit Short,#NUM!,36543029.42,-19989.03709,39.98,-0.20,0,0.00,0,0.00,39.98,0.40
1,Entrer short,2025-11-22 11:00,Short,#NUM!,36543029.42,-19989.03709,39.98,-0.20,0,0.00,0,0.00,39.98,0.40
2,Sortir du short,2025-11-22 15:00,Exit Short,#NUM!,30953671.36,-15941.14075,31.88,-0.20,0,0.00,0,0.00,71.86,0.72
2,Entrer short,2025-11-22 15:00,Short,#NUM!,30953671.36,-15941.14075,31.88,-0.20,0,0.00,0,0.00,71.86,0.72
3,Sortir du short,2025-11-22 19:00,Exit Short,#NUM!,30962235.37,-22107.03606,44.21,-0.20,0,0.00,0,0.00,116.07,1.16
3,Entrer short,2025-11-22 19:00,Short,#NUM!,30962235.37,-22107.03606,44.21,-0.20,0,0.00,0,0.00,116.07,1.16
4,Sortir du short,2025-11-23 05:00,Exit Short,#NUM!,39173150.66,-19821.61424,39.64,-0.20,0,0.00,0,0.00,155.72,1.56
4,Entrer short,2025-11-23 05:00,Short,#NUM!,39173150.66,-19821.61424,39.64,-0.20,0,0.00,0,0.00,155.72,1.56
5,Sortir du short,2025-11-23 13:00,Exit Short,#NUM!,36365880.64,-20073.96611,40.15,-0.20,0,0.00,0,0.00,195.87,1.96
5,Entrer short,2025-11-23 13:00,Short,#NUM!,36365880.64,-20073.96611,40.15,-0.20,0,0.00,0,0.00,195.87,1.96
6,Sortir du short,2025-11-23 21:00,Exit Short,#NUM!,36607301.41,-18962.58213,37.93,-0.20,0,0.00,0,0.00,233.79,2.34
6,Entrer short,2025-11-23 21:00,Short,#NUM!,36607301.41,-18962.58213,37.93,-0.20,0,0.00,0,0.00,233.79,2.34
7,Sortir du short,2025-11-23 23:00,Exit Short,#NUM!,44074121.98,-21155.57855,42.31,-0.20,0,0.00,0,0.00,276.1,2.76
7,Entrer short,2025-11-23 23:00,Short,#NUM!,44074121.98,-21155.57855,42.31,-0.20,0,0.00,0,0.00,276.1,2.76
8,Sortir du short,2025-11-24 07:00,Exit Short,#NUM!,42980956.19,-20974.70662,41.95,-0.20,0,0.00,0,0.00,318.05,3.18
8,Entrer short,2025-11-24 07:00,Short,#NUM!,42980956.19,-20974.70662,41.95,-0.20,0,0.00,0,0.00,318.05,3.18
9,Sortir du short,2025-11-24 09:00,Exit Short,#NUM!,22639717.66,-24066.01987,48.13,-0.20,0,0.00,0,0.00,366.18,3.66
9,Entrer short,2025-11-24 09:00,Short,#NUM!,22639717.66,-24066.01987,48.13,-0.20,0,0.00,0,0.00,366.18,3.66
10,Sortir du short,2025-11-24 15:00,Exit Short,#NUM!,30792625.36,-19984.41386,39.97,-0.20,0,0.00,0,0.00,406.15,4.06
10,Entrer short,2025-11-24 15:00,Short,#NUM!,30792625.36,-19984.41386,39.97,-0.20,0,0.00,0,0.00,406.15,4.06
11,Sortir du short,2025-11-24 23:00,Exit Short,#NUM!,30707937.12,-25825.37512,51.65,-0.20,0,0.00,0,0.00,457.8,4.58
11,Entrer short,2025-11-24 23:00,Short,#NUM!,30707937.12,-25825.37512,51.65,-0.20,0,0.00,0,0.00,457.8,4.58
12,Sortir du short,2025-11-25 05:00,Exit Short,#NUM!,42866875.47,-17832.6202,35.67,-0.20,0,0.00,0,0.00,493.47,4.93
12,Entrer short,2025-11-25 05:00,Short,#NUM!,42866875.47,-17832.6202,35.67,-0.20,0,0.00,0,0.00,493.47,4.93
13,Sortir du short,2025-11-25 11:00,Exit Short,#NUM!,37942140.84,-26369.78788,52.74,-0.20,0,0.00,0,0.00,546.21,5.46
13,Entrer short,2025-11-25 11:00,Short,#NUM!,37942140.84,-26369.78788,52.74,-0.20,0,0.00,0,0.00,546.21,5.46
14,Sortir du short,2025-11-25 13:00,Exit Short,#NUM!,23346522.23,-17439.85211,34.88,-0.20,0,0.00,0,0.00,581.09,5.81
14,Entrer short,2025-11-25 13:00,Short,#NUM!,23346522.23,-17439.85211,34.88,-0.20,0,0.00,0,0.00,581.09,5.81
15,Sortir du short,2025-11-25 17:00,Exit Short,#NUM!,34589455.75,-23624.59828,47.25,-0.20,0,0.00,0,0.00,628.34,6.28
15,Entrer short,2025-11-25 17:00,Short,#NUM!,34589455.75,-23624.59828,47.25,-0.20,0,0.00,0,0.00,628.34,6.28
16,Sortir du short,2025-11-25 19:00,Exit Short,#NUM!,33262406.21,-23283.68435,46.57,-0.20,0,0.00,0,0.00,674.9,6.75
16,Entrer short,2025-11-25 19:00,Short,#NUM!,33262406.21,-23283.68435,46.57,-0.20,0,0.00,0,0.00,674.9,6.75
17,Sortir du short,2025-11-26 11:00,Exit Short,#NUM!,33825764.93,-18705.64801,37.41,-0.20,0,0.00,0,0.00,712.32,7.12
17,Entrer short,2025-11-26 11:00,Short,#NUM!,33825764.93,-18705.64801,37.41,-0.20,0,0.00,0,0.00,712.32,7.12
18,Sortir du short,2025-11-26 13:00,Exit Short,#NUM!,30821041.6,-21235.69766,42.47,-0.20,0,0.00,0,0.00,754.79,7.55
18,Entrer short,2025-11-26 13:00,Short,#NUM!,30821041.6,-21235.69766,42.47,-0.20,0,0.00,0,0.00,754.79,7.55
19,Sortir du short,2025-11-26 15:00,Exit Short,#NUM!,31557009.78,-10161.35715,20.32,-0.20,0,0.00,0,0.00,775.11,7.75
19,Entrer short,2025-11-26 15:00,Short,#NUM!,31557009.78,-10161.35715,20.32,-0.20,0,0.00,0,0.00,775.11,7.75
20,Sortir du short,2025-11-26 23:00,Exit Short,#NUM!,42066444.52,-17415.50803,34.83,-0.20,0,0.00,0,0.00,809.94,8.10
20,Entrer short,2025-11-26 23:00,Short,#NUM!,42066444.52,-17415.50803,34.83,-0.20,0,0.00,0,0.00,809.94,8.10
21,Sortir du short,2025-11-27 01:00,Exit Short,#NUM!,37135438.42,-19384.69886,38.77,-0.20,0,0.00,0,0.00,848.71,8.49
21,Entrer short,2025-11-27 01:00,Short,#NUM!,37135438.42,-19384.69886,38.77,-0.20,0,0.00,0,0.00,848.71,8.49
22,Sortir du short,2025-11-27 05:00,Exit Short,#NUM!,39434797.06,-20742.70325,41.49,-0.20,0,0.00,0,0.00,890.2,8.90
22,Entrer short,2025-11-27 05:00,Short,#NUM!,39434797.06,-20742.70325,41.49,-0.20,0,0.00,0,0.00,890.2,8.90
23,Sortir du short,2025-11-27 09:00,Exit Short,#NUM!,41963644.69,-25891.56877,51.78,-0.20,0,0.00,0,0.00,941.98,9.42
23,Entrer short,2025-11-27 09:00,Short,#NUM!,41963644.69,-25891.56877,51.78,-0.20,0,0.00,0,0.00,941.98,9.42
24,Sortir du short,2025-11-27 11:00,Exit Short,#NUM!,35163988.78,-23911.51237,47.82,-0.20,0,0.00,0,0.00,989.8,9.90
24,Entrer short,2025-11-27 11:00,Short,#NUM!,35163988.78,-23911.51237,47.82,-0.20,0,0.00,0,0.00,989.8,9.90
25,Sortir du short,2025-11-27 13:00,Exit Short,#NUM!,36676071.4,-20978.71284,41.96,-0.20,0,0.00,0,0.00,1031.76,10.32
25,Entrer short,2025-11-27 13:00,Short,#NUM!,36676071.4,-20978.71284,41.96,-0.20,0,0.00,0,0.00,1031.76,10.32
26,Sortir du short,2025-11-27 19:00,Exit Short,#NUM!,39092680.03,-29632.25146,59.26,-0.20,0,0.00,0,0.00,1091.02,10.91
26,Entrer short,2025-11-27 19:00,Short,#NUM!,39092680.03,-29632.25146,59.26,-0.20,0,0.00,0,0.00,1091.02,10.91
27,Sortir du short,2025-11-27 21:00,Exit Short,#NUM!,42643021.04,-25500.52658,51,-0.20,0,0.00,0,0.00,1142.02,11.42
27,Entrer short,2025-11-27 21:00,Short,#NUM!,42643021.04,-25500.52658,51,-0.20,0,0.00,0,0.00,1142.02,11.42
28,Sortir du short,2025-11-27 23:00,Exit Short,#NUM!,38559721.74,-34086.79402,68.17,-0.20,0,0.00,0,0.00,1210.2,12.10
28,Entrer short,2025-11-27 23:00,Short,#NUM!,38559721.74,-34086.79402,68.17,-0.20,0,0.00,0,0.00,1210.2,12.10
29,Sortir du short,2025-11-28 01:00,Exit Short,#NUM!,39852105.38,-21918.65796,43.84,-0.20,0,0.00,0,0.00,1254.04,12.54
29,Entrer short,2025-11-28 01:00,Short,#NUM!,39852105.38,-21918.65796,43.84,-0.20,0,0.00,0,0.00,1254.04,12.54
30,Sortir du short,2025-11-28 03:00,Exit Short,#NUM!,32490899.46,-20339.30306,40.68,-0.20,0,0.00,0,0.00,1294.71,12.95
30,Entrer short,2025-11-28 03:00,Short,#NUM!,32490899.46,-20339.30306,40.68,-0.20,0,0.00,0,0.00,1294.71,12.95
31,Sortir du short,2025-11-28 05:00,Exit Short,#NUM!,36344286.47,-22860.55619,45.72,-0.20,0,0.00,0,0.00,1340.44,13.40
31,Entrer short,2025-11-28 05:00,Short,#NUM!,36344286.47,-22860.55619,45.72,-0.20,0,0.00,0,0.00,1340.44,13.40
32,Sortir du short,2025-11-28 07:00,Exit Short,#NUM!,36316120.73,-22043.88528,44.09,-0.20,0,0.00,0,0.00,1384.52,13.85
32,Entrer short,2025-11-28 07:00,Short,#NUM!,36316120.73,-22043.88528,44.09,-0.20,0,0.00,0,0.00,1384.52,13.85
33,Sortir du short,2025-11-28 09:00,Exit Short,#NUM!,33859834.3,-22381.35048,44.76,-0.20,0,0.00,0,0.00,1429.29,14.29
33,Entrer short,2025-11-28 09:00,Short,#NUM!,33859834.3,-22381.35048,44.76,-0.20,0,0.00,0,0.00,1429.29,14.29
34,Sortir du short,2025-11-28 13:00,Exit Short,#NUM!,34429188.29,-22310.11401,44.62,-0.20,0,0.00,0,0.00,1473.91,14.74
34,Entrer short,2025-11-28 13:00,Short,#NUM!,34429188.29,-22310.11401,44.62,-0.20,0,0.00,0,0.00,1473.91,14.74
35,Sortir du short,2025-11-28 19:00,Exit Short,0.00001,27783535.85,277.8353585,-0.56,-0.20,0,0.00,0,0.00,1473.35,14.73
35,Entrer short,2025-11-28 19:00,Short,0.00001,27783535.85,277.8353585,-0.56,-0.20,0,0.00,0,0.00,1473.35,14.73
36,Sortir du short,2025-11-28 21:00,Exit Short,#NUM!,32019395.93,-21260.8789,42.52,-0.20,0,0.00,0,0.00,1515.87,15.16
36,Entrer short,2025-11-28 21:00,Short,#NUM!,32019395.93,-21260.8789,42.52,-0.20,0,0.00,0,0.00,1515.87,15.16
37,Sortir du short,2025-11-29 15:00,Exit Short,#NUM!,38978715.83,-20268.93223,40.54,-0.20,0,0.00,0,0.00,1556.41,15.56
37,Entrer short,2025-11-29 15:00,Short,#NUM!,38978715.83,-20268.93223,40.54,-0.20,0,0.00,0,0.00,1556.41,15.56
38,Sortir du short,2025-11-29 23:00,Exit Short,#NUM!,44318184.04,-24242.04667,48.48,-0.20,0,0.00,0,0.00,1604.89,16.05
38,Entrer short,2025-11-29 23:00,Short,#NUM!,44318184.04,-24242.04667,48.48,-0.20,0,0.00,0,0.00,1604.89,16.05
39,Sortir du short,2025-11-30 01:00,Exit Short,#NUM!,47842408.27,-22772.98634,45.55,-0.20,0,0.00,0,0.00,1650.44,16.50
39,Entrer short,2025-11-30 01:00,Short,#NUM!,47842408.27,-22772.98634,45.55,-0.20,0,0.00,0,0.00,1650.44,16.50
40,Sortir du short,2025-11-30 07:00,Exit Short,#NUM!,51791241.32,-24238.30094,48.48,-0.20,0,0.00,0,0.00,1698.92,16.99
40,Entrer short,2025-11-30 07:00,Short,#NUM!,51791241.32,-24238.30094,48.48,-0.20,0,0.00,0,0.00,1698.92,16.99
41,Sortir du short,2025-11-30 09:00,Exit Short,#NUM!,52790561.52,-25867.37514,51.73,-0.20,0,0.00,0,0.00,1750.65,17.51
41,Entrer short,2025-11-30 09:00,Short,#NUM!,52790561.52,-25867.37514,51.73,-0.20,0,0.00,0,0.00,1750.65,17.51
42,Sortir du short,2025-11-30 11:00,Exit Short,#NUM!,40690667.94,-21403.29134,42.81,-0.20,0,0.00,0,0.00,1793.46,17.93
42,Entrer short,2025-11-30 11:00,Short,#NUM!,40690667.94,-21403.29134,42.81,-0.20,0,0.00,0,0.00,1793.46,17.93
43,Sortir du short,2025-11-30 17:00,Exit Short,#NUM!,50818536.09,-17024.20959,34.05,-0.20,0,0.00,0,0.00,1827.51,18.28
43,Entrer short,2025-11-30 17:00,Short,#NUM!,50818536.09,-17024.20959,34.05,-0.20,0,0.00,0,0.00,1827.51,18.28
44,Sortir du short,2025-12-01 01:00,Exit Short,#NUM!,36963844.33,-29164.47318,58.33,-0.20,0,0.00,0,0.00,1885.84,18.86
44,Entrer short,2025-12-01 01:00,Short,#NUM!,36963844.33,-29164.47318,58.33,-0.20,0,0.00,0,0.00,1885.84,18.86
45,Sortir du short,2025-12-01 03:00,Exit Short,#NUM!,32404130.41,-22715.29542,45.43,-0.20,0,0.00,0,0.00,1931.27,19.31
45,Entrer short,2025-12-01 03:00,Short,#NUM!,32404130.41,-22715.29542,45.43,-0.20,0,0.00,0,0.00,1931.27,19.31
46,Sortir du short,2025-12-01 05:00,Exit Short,#NUM!,34493894.47,-26180.8659,52.36,-0.20,0,0.00,0,0.00,1983.63,19.84
46,Entrer short,2025-12-01 05:00,Short,#NUM!,34493894.47,-26180.8659,52.36,-0.20,0,0.00,0,0.00,1983.63,19.84
47,Sortir du short,2025-12-01 09:00,Exit Short,#NUM!,37234157.31,-25728.8027,51.46,-0.20,0,0.00,0,0.00,2035.09,20.35
47,Entrer short,2025-12-01 09:00,Short,#NUM!,37234157.31,-25728.8027,51.46,-0.20,0,0.00,0,0.00,2035.09,20.35
48,Sortir du short,2025-12-01 11:00,Exit Short,#NUM!,29684375.95,-17335.67556,34.67,-0.20,0,0.00,0,0.00,2069.76,20.70
48,Entrer short,2025-12-01 11:00,Short,#NUM!,29684375.95,-17335.67556,34.67,-0.20,0,0.00,0,0.00,2069.76,20.70
49,Sortir du short,2025-12-01 23:00,Exit Short,#NUM!,35945429.49,-25988.54552,51.98,-0.20,0,0.00,0,0.00,2121.73,21.22
49,Entrer short,2025-12-01 23:00,Short,#NUM!,35945429.49,-25988.54552,51.98,-0.20,0,0.00,0,0.00,2121.73,21.22
50,Sortir du short,2025-12-02 01:00,Exit Short,#NUM!,36962138.76,-26243.11852,52.49,-0.20,0,0.00,0,0.00,2174.22,21.74
50,Entrer short,2025-12-02 01:00,Short,#NUM!,36962138.76,-26243.11852,52.49,-0.20,0,0.00,0,0.00,2174.22,21.74
51,Sortir du short,2025-12-02 03:00,Exit Short,#NUM!,40627453.72,-20110.58959,40.22,-0.20,0,0.00,0,0.00,2214.44,22.14
51,Entrer short,2025-12-02 03:00,Short,#NUM!,40627453.72,-20110.58959,40.22,-0.20,0,0.00,0,0.00,2214.44,22.14
52,Sortir du short,2025-12-02 09:00,Exit Short,#NUM!,33146379.44,-22373.80612,44.75,-0.20,0,0.00,0,0.00,2259.19,22.59
52,Entrer short,2025-12-02 09:00,Short,#NUM!,33146379.44,-22373.80612,44.75,-0.20,0,0.00,0,0.00,2259.19,22.59
53,Sortir du short,2025-12-02 11:00,Exit Short,#NUM!,34352935.14,-23806.58405,47.61,-0.20,0,0.00,0,0.00,2306.8,23.07
53,Entrer short,2025-12-02 11:00,Short,#NUM!,34352935.14,-23806.58405,47.61,-0.20,0,0.00,0,0.00,2306.8,23.07
54,Sortir du short,2025-12-02 13:00,Exit Short,#NUM!,44459382.26,-24497.11962,48.99,-0.20,0,0.00,0,0.00,2355.8,23.56
54,Entrer short,2025-12-02 13:00,Short,#NUM!,44459382.26,-24497.11962,48.99,-0.20,0,0.00,0,0.00,2355.8,23.56
55,Sortir du short,2025-12-02 15:00,Exit Short,#NUM!,40878038.25,-22033.26262,44.07,-0.20,0,0.00,0,0.00,2399.86,24.00
55,Entrer short,2025-12-02 15:00,Short,#NUM!,40878038.25,-22033.26262,44.07,-0.20,0,0.00,0,0.00,2399.86,24.00
56,Sortir du short,2025-12-03 07:00,Exit Short,#NUM!,43931417.93,-18319.40128,36.64,-0.20,0,0.00,0,0.00,2436.5,24.37
56,Entrer short,2025-12-03 07:00,Short,#NUM!,43931417.93,-18319.40128,36.64,-0.20,0,0.00,0,0.00,2436.5,24.37
57,Sortir du short,2025-12-03 09:00,Exit Short,#NUM!,66535597.3,-22888.24547,45.78,-0.20,0,0.00,0,0.00,2482.28,24.82
57,Entrer short,2025-12-03 09:00,Short,#NUM!,66535597.3,-22888.24547,45.78,-0.20,0,0.00,0,0.00,2482.28,24.82
58,Sortir du short,2025-12-03 11:00,Exit Short,#NUM!,65732524.08,-29711.10089,59.42,-0.20,0,0.00,0,0.00,2541.7,25.42
58,Entrer short,2025-12-03 11:00,Short,#NUM!,65732524.08,-29711.10089,59.42,-0.20,0,0.00,0,0.00,2541.7,25.42
59,Sortir du short,2025-12-03 13:00,Exit Short,#NUM!,54655074.14,-25086.67903,50.17,-0.20,0,0.00,0,0.00,2591.87,25.92
59,Entrer short,2025-12-03 13:00,Short,#NUM!,54655074.14,-25086.67903,50.17,-0.20,0,0.00,0,0.00,2591.87,25.92
60,Sortir du short,2025-12-03 15:00,Exit Short,#NUM!,46031340.6,-17307.78407,34.62,-0.20,0,0.00,0,0.00,2626.49,26.26
60,Entrer short,2025-12-03 15:00,Short,#NUM!,46031340.6,-17307.78407,34.62,-0.20,0,0.00,0,0.00,2626.49,26.26
61,Sortir du short,2025-12-04 03:00,Exit Short,#NUM!,49484593.15,-25583.53466,51.17,-0.20,0,0.00,0,0.00,2677.66,26.78
61,Entrer short,2025-12-04 03:00,Short,#NUM!,49484593.15,-25583.53466,51.17,-0.20,0,0.00,0,0.00,2677.66,26.78
62,Sortir du short,2025-12-04 05:00,Exit Short,#NUM!,52845585.07,-23040.67509,46.08,-0.20,0,0.00,0,0.00,2723.74,27.24
62,Entrer short,2025-12-04 05:00,Short,#NUM!,52845585.07,-23040.67509,46.08,-0.20,0,0.00,0,0.00,2723.74,27.24
63,Sortir du short,2025-12-04 09:00,Exit Short,#NUM!,49110281.21,-20724.53867,41.45,-0.20,0,0.00,0,0.00,2765.19,27.65
63,Entrer short,2025-12-04 09:00,Short,#NUM!,49110281.21,-20724.53867,41.45,-0.20,0,0.00,0,0.00,2765.19,27.65
64,Sortir du short,2025-12-04 21:00,Exit Short,#NUM!,65509526.25,-25876.26287,51.75,-0.20,0,0.00,0,0.00,2816.94,28.17
64,Entrer short,2025-12-04 21:00,Short,#NUM!,65509526.25,-25876.26287,51.75,-0.20,0,0.00,0,0.00,2816.94,28.17
65,Sortir du short,2025-12-04 23:00,Exit Short,#NUM!,72163385.01,-27638.57646,55.28,-0.20,0,0.00,0,0.00,2872.22,28.72
65,Entrer short,2025-12-04 23:00,Short,#NUM!,72163385.01,-27638.57646,55.28,-0.20,0,0.00,0,0.00,2872.22,28.72
66,Sortir du short,2025-12-05 03:00,Exit Short,#NUM!,41176596.92,-20958.88783,41.92,-0.20,0,0.00,0,0.00,2914.13,29.14
66,Entrer short,2025-12-05 03:00,Short,#NUM!,41176596.92,-20958.88783,41.92,-0.20,0,0.00,0,0.00,2914.13,29.14
67,Sortir du short,2025-12-05 05:00,Exit Short,#NUM!,47714373.43,-28103.76595,56.21,-0.20,0,0.00,0,0.00,2970.34,29.70
67,Entrer short,2025-12-05 05:00,Short,#NUM!,47714373.43,-28103.76595,56.21,-0.20,0,0.00,0,0.00,2970.34,29.70
68,Sortir du short,2025-12-05 09:00,Exit Short,#NUM!,61131834.25,-24391.60186,48.78,-0.20,0,0.00,0,0.00,3019.12,30.19
68,Entrer short,2025-12-05 09:00,Short,#NUM!,61131834.25,-24391.60186,48.78,-0.20,0,0.00,0,0.00,3019.12,30.19
69,Sortir du short,2025-12-05 11:00,Exit Short,#NUM!,52172495.29,-32086.08461,64.17,-0.20,0,0.00,0,0.00,3083.3,30.83
69,Entrer short,2025-12-05 11:00,Short,#NUM!,52172495.29,-32086.08461,64.17,-0.20,0,0.00,0,0.00,3083.3,30.83
70,Sortir du short,2025-12-05 19:00,Exit Short,#NUM!,52337373.57,-37159.53523,74.32,-0.20,0,0.00,0,0.00,3157.62,31.58
70,Entrer short,2025-12-05 19:00,Short,#NUM!,52337373.57,-37159.53523,74.32,-0.20,0,0.00,0,0.00,3157.62,31.58
71,Sortir du short,2025-12-05 21:00,Exit Short,#NUM!,43098038.67,-31763.2545,63.53,-0.20,0,0.00,0,0.00,3221.14,32.21
71,Entrer short,2025-12-05 21:00,Short,#NUM!,43098038.67,-31763.2545,63.53,-0.20,0,0.00,0,0.00,3221.14,32.21
72,Sortir du short,2025-12-06 01:00,Exit Short,#NUM!,44116060.68,-25719.66337,51.44,-0.20,0,0.00,0,0.00,3272.58,32.73
72,Entrer short,2025-12-06 01:00,Short,#NUM!,44116060.68,-25719.66337,51.44,-0.20,0,0.00,0,0.00,3272.58,32.73
73,Sortir du short,2025-12-06 03:00,Exit Short,#NUM!,52910430.74,-29418.19949,58.84,-0.20,0,0.00,0,0.00,3331.42,33.31
73,Entrer short,2025-12-06 03:00,Short,#NUM!,52910430.74,-29418.19949,58.84,-0.20,0,0.00,0,0.00,3331.42,33.31
74,Sortir du short,2025-12-06 05:00,Exit Short,#NUM!,46516575.48,-26793.54748,53.59,-0.20,0,0.00,0,0.00,3385.01,33.85
74,Entrer short,2025-12-06 05:00,Short,#NUM!,46516575.48,-26793.54748,53.59,-0.20,0,0.00,0,0.00,3385.01,33.85
75,Sortir du short,2025-12-06 07:00,Exit Short,#NUM!,48777395.3,-26778.79002,53.56,-0.20,0,0.00,0,0.00,3438.56,34.39
75,Entrer short,2025-12-06 07:00,Short,#NUM!,48777395.3,-26778.79002,53.56,-0.20,0,0.00,0,0.00,3438.56,34.39
76,Sortir du short,2025-12-06 13:00,Exit Short,#NUM!,43304801.82,-25160.08986,50.32,-0.20,0,0.00,0,0.00,3488.88,34.89
76,Entrer short,2025-12-06 13:00,Short,#NUM!,43304801.82,-25160.08986,50.32,-0.20,0,0.00,0,0.00,3488.88,34.89
77,Sortir du short,2025-12-07 03:00,Exit Short,#NUM!,33208308.44,-14445.61417,28.89,-0.20,0,0.00,0,0.00,3517.77,35.18
77,Entrer short,2025-12-07 03:00,Short,#NUM!,33208308.44,-14445.61417,28.89,-0.20,0,0.00,0,0.00,3517.77,35.18
78,Sortir du short,2025-12-07 15:00,Exit Short,#NUM!,39890148.38,-25609.47526,51.22,-0.20,0,0.00,0,0.00,3568.99,35.69
78,Entrer short,2025-12-07 15:00,Short,#NUM!,39890148.38,-25609.47526,51.22,-0.20,0,0.00,0,0.00,3568.99,35.69
79,Sortir du short,2025-12-07 17:00,Exit Short,#NUM!,46948283.8,-30985.86731,61.97,-0.20,0,0.00,0,0.00,3630.96,36.31
79,Entrer short,2025-12-07 17:00,Short,#NUM!,46948283.8,-30985.86731,61.97,-0.20,0,0.00,0,0.00,3630.96,36.31
80,Sortir du short,2025-12-07 19:00,Exit Short,#NUM!,37815995.67,-27681.30883,55.36,-0.20,0,0.00,0,0.00,3686.33,36.86
80,Entrer short,2025-12-07 19:00,Short,#NUM!,37815995.67,-27681.30883,55.36,-0.20,0,0.00,0,0.00,3686.33,36.86
81,Sortir du short,2025-12-08 01:00,Exit Short,#NUM!,45937292.82,-26965.19088,53.93,-0.20,0,0.00,0,0.00,3740.26,37.40
81,Entrer short,2025-12-08 01:00,Short,#NUM!,45937292.82,-26965.19088,53.93,-0.20,0,0.00,0,0.00,3740.26,37.40
82,Sortir du short,2025-12-08 15:00,Exit Short,#NUM!,55939980.53,-34179.3281,68.36,-0.20,0,0.00,0,0.00,3808.62,38.09
